pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread,real_spread,3_scale_bias,5_scale_bias,3_scale_bias_num,5_scale_bias_num,respondent_type_num,year,month_start,day_start,month_end,day_end
Gravis,2016-11-01,2016-11-04,NC,1250,RV,45.0,46.0,2.8,-1.0,3.5999999999999943,independent,independent,0,0,0,2016,11,1,11,4
Trafalgar Group (R),2016-10-27,2016-11-01,NC,870,RV,49.0,44.0,2.9,5.0,3.5999999999999943,pro-republican,strongly pro-republican,1,2,0,2016,10,27,11,1
WRAL-TV,2016-10-28,2016-10-31,NC,659,LV,51.0,44.0,3.9,7.0,3.5999999999999943,pro-democratic,likely pro-democratic,-1,-1,1,2016,10,28,10,31
CBS News,2016-10-26,2016-10-28,NC,992,LV,45.0,48.0,4.1,-3.0,3.5999999999999943,pro-democratic,likely pro-democratic,-1,-1,1,2016,10,26,10,28
Emerson,2016-11-04,2016-11-05,NV,600,LV,46.0,47.0,3.9,-1.0,-2.3999999999999986,independent,independent,0,0,1,2016,11,4,11,5
Gravis,2016-11-03,2016-11-06,NV,1158,LV,43.0,45.0,2.9,-2.0,-2.3999999999999986,independent,independent,0,0,1,2016,11,3,11,6
Remington Research (R),2016-11-01,2016-11-02,NV,1793,LV,46.0,45.0,2.3,1.0,-2.3999999999999986,pro-republican,likely pro-republican,1,1,1,2016,11,1,11,2
8 News NOW - Las Vegas,2016-10-28,2016-11-01,NV,600,LV,45.0,45.0,4.0,0.0,-2.3999999999999986,independent,independent,0,0,1,2016,10,28,11,1
CNN,2016-10-27,2016-11-01,NV,790,LV,51.0,45.0,3.5,6.0,-2.3999999999999986,pro-democratic,strongly pro-democratic,-1,-2,1,2016,10,27,11,1
Trafalgar Group (R),2016-11-03,2016-11-05,PA,1300,LV,48.0,47.0,2.7,1.0,0.7000000000000028,pro-republican,strongly pro-republican,1,2,1,2016,11,3,11,5
Morning Call,2016-10-30,2016-11-04,PA,405,LV,42.0,48.0,5.5,-6.0,0.7000000000000028,independent,independent,0,0,1,2016,10,30,11,4
Harper (R),2016-11-02,2016-11-03,PA,504,LV,46.0,46.0,4.4,0.0,0.7000000000000028,pro-republican,likely pro-republican,1,1,1,2016,11,2,11,3
Gravis,2016-11-01,2016-11-02,PA,1016,RV,45.0,47.0,3.1,-2.0,0.7000000000000028,independent,independent,0,0,0,2016,11,1,11,2
Susquehanna,2016-10-31,2016-11-01,PA,681,LV,43.0,45.0,3.8,-2.0,0.7000000000000028,pro-republican,likely pro-republican,1,1,1,2016,10,31,11,1
Monmouth,2016-10-29,2016-11-01,PA,403,LV,44.0,48.0,4.9,-4.0,0.7000000000000028,pro-democratic,likely pro-democratic,-1,-1,1,2016,10,29,11,1
Remington Research (R),2016-11-01,2016-11-02,WI,2720,LV,41.0,49.0,1.9,-8.0,0.7000000000000028,pro-republican,likely pro-republican,1,1,1,2016,11,1,11,2
Loras,2016-10-31,2016-11-01,WI,500,LV,38.0,44.0,4.4,-6.0,0.7000000000000028,independent,independent,0,0,1,2016,10,31,11,1
Marquette,2016-10-26,2016-10-31,WI,1225,LV,40.0,46.0,3.5,-6.0,0.7000000000000028,independent,independent,0,0,1,2016,10,26,10,31
Emerson,2016-10-26,2016-10-27,WI,400,LV,42.0,48.0,4.9,-6.0,0.7000000000000028,independent,independent,0,0,1,2016,10,26,10,27
NBC,2020-10-29,2020-11-01,AZ,717,LV,48.0,48.0,4.5,0.0,-0.2999999999999971,pro-democratic,likely pro-democratic,-1,-1,1,2020,10,29,11,1
CNBC,2020-10-29,2020-11-01,AZ,409,LV,47.0,50.0,3.55,-3.0,-0.2999999999999971,pro-democratic,likely pro-democratic,-1,-1,1,2020,10,29,11,1
Reuters,2020-10-27,2020-11-01,AZ,610,LV,47.0,49.0,5.0,-2.0,-0.2999999999999971,independent,independent,0,0,1,2020,10,27,11,1
Emerson,2020-10-29,2020-10-31,AZ,732,LV,46.0,48.0,3.6,-2.0,-0.2999999999999971,independent,independent,0,0,1,2020,10,29,10,31
Rasmussen Reports,2020-10-27,2020-10-29,AZ,800,LV,49.0,45.0,3.5,4.0,-0.2999999999999971,pro-republican,likely pro-republican,1,1,1,2020,10,27,10,29
NY Times,2020-10-26,2020-10-30,AZ,1252,LV,43.0,49.0,3.0,-6.0,-0.2999999999999971,pro-democratic,strongly pro-democratic,-1,-2,1,2020,10,26,10,30
Trafalgar Group (R),2020-10-25,2020-10-28,AZ,1002,LV,49.0,46.0,3.0,3.0,-0.2999999999999971,pro-republican,strongly pro-republican,1,2,1,2020,10,25,10,28
WSB-TV,2020-11-01,2020-11-01,GA,500,LV,50.0,46.0,4.4,4.0,-0.2999999999999971,independent,independent,0,0,1,2020,11,1,11,1
Trafalgar Group (R),2020-10-31,2020-11-02,GA,1013,LV,50.0,45.0,2.9,5.0,-0.2999999999999971,pro-republican,strongly pro-republican,1,2,1,2020,10,31,11,2
InsiderAdvantage,2020-11-01,2020-11-01,GA,500,LV,48.0,46.0,4.4,2.0,-0.2999999999999971,pro-republican,likely pro-republican,1,1,1,2020,11,1,11,1
Emerson,2020-10-29,2020-10-31,GA,749,LV,49.0,48.0,3.5,1.0,-0.2999999999999971,independent,independent,0,0,1,2020,10,29,10,31
PPP (D),2020-10-27,2020-10-28,GA,661,LV,46.0,48.0,3.8,-2.0,-0.2999999999999971,pro-democratic,strongly pro-democratic,-1,-2,1,2020,10,27,10,28
Monmouth,2020-10-23,2020-10-27,GA,504,LV,46.0,50.0,4.4,-4.0,-0.2999999999999971,pro-democratic,likely pro-democratic,-1,-1,1,2020,10,23,10,27
Trafalgar Group (R),2020-10-30,2020-10-31,MI,1033,LV,48.0,46.0,2.9,2.0,-2.8000000000000043,pro-republican,strongly pro-republican,1,2,1,2020,10,30,10,31
InsiderAdvantage,2020-10-30,2020-10-31,MI,500,LV,47.0,49.0,4.4,-2.0,-2.8000000000000043,pro-republican,likely pro-republican,1,1,1,2020,10,30,10,31
CNBC,2020-10-29,2020-11-01,MI,383,LV,44.0,51.0,3.4,-7.0,-2.8000000000000043,pro-democratic,likely pro-democratic,-1,-1,1,2020,10,29,11,1
Emerson,2020-10-29,2020-10-30,MI,700,LV,45.0,52.0,3.4,-7.0,-2.8000000000000043,independent,independent,0,0,1,2020,10,29,10,30
Mitchell Research,2020-10-29,2020-10-29,MI,817,LV,45.0,52.0,3.4,-7.0,-2.8000000000000043,independent,independent,0,0,1,2020,10,29,10,29
InsiderAdvantage,2020-10-30,2020-10-31,NC,450,LV,48.0,44.0,4.6,4.0,1.2999999999999972,pro-republican,likely pro-republican,1,1,1,2020,10,30,10,31
CNBC,2020-10-29,2020-11-01,NC,473,LV,47.0,49.0,3.45,-2.0,1.2999999999999972,pro-democratic,likely pro-democratic,-1,-1,1,2020,10,29,11,1
Emerson,2020-10-29,2020-10-30,NC,855,LV,47.0,47.0,3.3,0.0,1.2999999999999972,independent,independent,0,0,1,2020,10,29,10,30
Reuters,2020-10-27,2020-11-01,NC,707,LV,48.0,49.0,4.0,-1.0,1.2999999999999972,independent,independent,0,0,1,2020,10,27,11,1
Rasmussen Reports,2020-10-28,2020-10-29,NC,800,LV,48.0,47.0,3.5,1.0,1.2999999999999972,pro-republican,likely pro-republican,1,1,1,2020,10,28,10,29
Trafalgar Group (R),2020-10-27,2020-10-29,NC,1082,LV,49.0,47.0,2.9,2.0,1.2999999999999972,pro-republican,strongly pro-republican,1,2,1,2020,10,27,10,29
The Hill,2020-10-26,2020-10-29,NC,901,LV,48.0,49.0,3.45,-1.0,1.2999999999999972,independent,independent,0,0,1,2020,10,26,10,29
East Carolina U.,2020-10-27,2020-10-28,NC,1103,LV,47.0,49.0,3.4,-2.0,1.2999999999999972,independent,independent,0,0,1,2020,10,27,10,28
Trafalgar Group (R),2020-10-31,2020-11-02,NV,1008,LV,49.0,48.0,2.9,1.0,-2.3999999999999986,pro-republican,strongly pro-republican,1,2,1,2020,10,31,11,2
Emerson,2020-10-29,2020-10-31,NV,720,LV,47.0,49.0,3.6,-2.0,-2.3999999999999986,independent,independent,0,0,1,2020,10,29,10,31
NY Times,2020-10-23,2020-10-26,NV,809,LV,43.0,49.0,3.8,-6.0,-2.3999999999999986,pro-democratic,strongly pro-democratic,-1,-2,1,2020,10,23,10,26
Susquehanna,2020-11-01,2020-11-02,PA,499,LV,49.0,48.0,4.3,1.0,-1.2000000000000028,pro-republican,likely pro-republican,1,1,1,2020,11,1,11,2
Rasmussen Reports,2020-10-31,2020-11-01,PA,800,LV,47.0,50.0,3.5,-3.0,-1.2000000000000028,pro-republican,likely pro-republican,1,1,1,2020,10,31,11,1
Trafalgar Group (R),2020-10-30,2020-10-31,PA,1062,LV,48.0,46.0,2.9,2.0,-1.2000000000000028,pro-republican,strongly pro-republican,1,2,1,2020,10,30,10,31
NBC,2020-10-29,2020-11-01,PA,772,LV,46.0,51.0,4.4,-5.0,-1.2000000000000028,pro-democratic,likely pro-democratic,-1,-1,1,2020,10,29,11,1
InsiderAdvantage,2020-10-30,2020-10-31,PA,500,LV,49.0,47.0,4.4,2.0,-1.2000000000000028,pro-republican,likely pro-republican,1,1,1,2020,10,30,10,31
CNBC,2020-10-29,2020-11-01,PA,699,LV,46.0,50.0,4.3,-4.0,-1.2000000000000028,pro-democratic,likely pro-democratic,-1,-1,1,2020,10,29,11,1
CNBC,2020-10-29,2020-11-01,WI,553,LV,45.0,53.0,3.9,-8.0,-0.7000000000000028,pro-democratic,likely pro-democratic,-1,-1,1,2020,10,29,11,1
Susquehanna,2020-10-29,2020-10-31,WI,450,LV,46.0,49.0,4.7,-3.0,-0.7000000000000028,pro-republican,likely pro-republican,1,1,1,2020,10,29,10,31
Emerson,2020-10-29,2020-10-30,WI,751,LV,45.0,53.0,3.5,-8.0,-0.7000000000000028,independent,independent,0,0,1,2020,10,29,10,30
Reuters,2020-10-27,2020-11-01,WI,696,LV,43.0,53.0,4.2,-10.0,-0.7000000000000028,independent,independent,0,0,1,2020,10,27,11,1
NY Times,2020-10-26,2020-10-30,WI,1253,LV,41.0,52.0,3.2,-11.0,-0.7000000000000028,pro-democratic,strongly pro-democratic,-1,-2,1,2020,10,26,10,30
Trafalgar Group (R),2020-10-24,2020-10-25,WI,1082,LV,47.0,48.0,2.9,-1.0,-0.7000000000000028,pro-republican,strongly pro-republican,1,2,1,2020,10,24,10,25
CNN,2020-10-23,2020-10-30,WI,873,LV,44.0,52.0,3.9,-8.0,-0.7000000000000028,pro-democratic,strongly pro-democratic,-1,-2,1,2020,10,23,10,30
Marquette,2020-10-21,2020-10-25,WI,749,LV,43.0,48.0,4.4,-5.0,-0.7000000000000028,independent,independent,0,0,1,2020,10,21,10,25
